FID,MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,mean_AI,Shape__Area,Shape__Length
78,E02000081,Bexley 017,6.27913257905,0,25.5382968622,2,10101.4702508,7.31655250278,2205755.69245148,10101.4702507996
79,E02000082,Bexley 018,4.03340497567,0,9.82041201975,1b,10044.0611931,4.27955620081,1497341.04593658,10044.0611930728
80,E02000083,Bexley 019,2.88199086742,0,10.5154099791,1b,12113.4946009,3.8131224757,3744166.52441406,12113.4946008723
81,E02000084,Bexley 020,4.10515490683,0,17.7725794473,2,12314.2415525,5.18634416865,2593843.00345612,12314.2415524595
82,E02000085,Bexley 021,4.00874460623,0,6.49211931121,1b,8291.53893701,3.61631302692,1623441.01119995,8291.53893701081
83,E02000086,Bexley 022,3.44305578509,0,13.459904916,1b,9596.41667695,3.74675581394,1488473.04566956,9596.41667694956
84,E02000087,Bexley 023,3.99740931196,0,13.1601287657,1b,11253.8142682,4.78846447765,3716351.20771027,11253.8142681733
85,E02000088,Bexley 024,4.4965776793,0,12.986127919,1b,11304.8073222,4.67273075297,1998930.31717682,11304.8073221661
86,E02000089,Bexley 025,3.73225073756,0,11.1395858115,1b,7651.06595431,4.07387897001,1367752.55615234,7651.06595430536
87,E02000090,Bexley 026,9.9413059868,0,20.2199185034,2,9945.19230382,9.16806328509,1809790.23603821,9945.19230381657
88,E02000091,Bexley 027,6.3611834428,0,17.1761419849,2,13450.6159932,6.34496400859,2733594.79721832,13450.6159932165
89,E02000092,Bexley 028,1.30705894727,0,9.75837385892,1a,14455.0118644,1.78528521141,5991859.74678802,14455.0118643527
90,E02000093,Brent 001,8.03522995422,1.94478362651,18.4910368237,2,7933.44532088,8.5522521794,1377430.88028717,7933.44532088124
91,E02000094,Brent 002,8.17045495274,0,16.0707169364,2,6687.06047847,8.36973542977,1163463.38628387,6687.0604784674
92,E02000095,Brent 003,10.1085100436,0,23.4815617269,2,10441.5487226,9.3466166363,1548826.04694366,10441.5487225913
93,E02000096,Brent 004,8.90092522535,0,25.3758417765,2,6674.89241655,8.17685398433,1635502.31996155,6674.89241655305
94,E02000097,Brent 005,3.93141571079,0,13.1656432275,1b,8507.25710899,3.72793678965,1871325.55015564,8507.25710899175
95,E02000098,Brent 006,5.01260341577,0,26.7328314913,2,8067.62847666,6.9179453319,1838609.75862885,8067.62847666063
96,E02000099,Brent 007,10.4369071279,1.85421712529,15.0497080803,3,6039.86759168,10.1252049595,1287141.87017822,6039.86759167843
97,E02000100,Brent 008,7.0467789095,0,27.9424155466,2,9272.11502727,9.9385854041,2078546.15665436,9272.11502727019
98,E02000101,Brent 009,10.0288659851,0,31.6166144542,3,9024.73228557,13.1966132192,1403911.85437012,9024.73228557034
99,E02000102,Brent 010,5.63718637674,0,14.991502092,1b,9780.3971524,4.75914990288,1359377.54096985,9780.39715240276
100,E02000103,Brent 011,7.51368437471,0,15.1159194511,2,7818.27812456,7.69676633201,1771940.31900787,7818.27812455892
101,E02000104,Brent 012,11.564572759,5.9474517074,36.0767039323,3,5684.11723169,14.3996286843,1107888.43292999,5684.1172316941
102,E02000105,Brent 013,7.43922907481,0,21.8519074989,2,8834.41294337,7.61597529207,1369786.61898041,8834.41294337013
103,E02000106,Brent 014,12.9297361588,0,22.9780365183,3,7822.3962737,12.5391316369,1340986.83621216,7822.39627370135
104,E02000107,Brent 015,13.6843899251,0,25.0173626609,3,5244.02470571,12.4144916955,954653.304595947,5244.02470570607
105,E02000108,Brent 016,7.52712216041,2.20166849418,19.2986729084,2,5507.44044362,7.98574994222,812979.877845764,5507.44044362199
106,E02000110,Brent 018,9.2739553933,2.42269697809,19.7881446604,2,6083.72730196,9.93137015626,799131.796043396,6083.72730195584
107,E02000111,Brent 019,16.0154836948,0,31.2547875084,3,8429.60825687,13.9445689795,1127825.78564453,8429.60825686946
108,E02000112,Brent 020,14.3149689212,0,30.253079034,3,8677.55552624,14.8837994257,1268789.59938812,8677.55552623538
