msoa_code,child_obesity_rate,avg_size_green_1km_m2,employment_score,education_score,crime_score,idaci_score,ptal_accessibility_index,fast_food_density,BNG_east,BNG_north
E02000001,14.28571,54680.23049631633,0.048000000000000015,4.2028333333333325,-1.5078333333333334,0.18616666666666667,86.6385345973,113.39471096308311,532384.0,181355.0
E02000002,33.33333,137574.78500000003,0.18125,25.67675,0.53075,0.47024999999999995,3.8466756337400003,0.9232898676881494,548267.0,189685.0
E02000003,29.47368,254591.37,0.12966666666666668,19.776833333333332,0.37333333333333335,0.41766666666666663,6.26167480464,8.39610876001581,548259.0,188520.0
E02000004,32.69231,2007887.7350000003,0.1455,20.4615,-0.15450000000000003,0.354,3.4230156658300004,1.6054778513203738,551004.0,186412.0
E02000005,29.41176,455191.25,0.1525,24.6925,0.2453333333333333,0.4498333333333333,6.66946251541,9.271967991241656,548733.0,186824.0
E02000007,26.21359,1213471.15,0.1996,27.186,0.4958,0.6386000000000001,6.31133340004,4.614020433358486,549698.0,186609.0
E02000008,34.07407,742882.9985714286,0.17985714285714285,28.598142857142857,0.21114285714285713,0.5484285714285714,7.27329443928,7.044659293259079,548218.0,185920.0
E02000009,28.90625,1234637.6233333333,0.17142857142857143,26.471428571428575,0.309,0.5142857142857143,8.13679481187,10.363084615386136,546785.0,185796.0
E02000010,35.55556,951080.3740000001,0.17880000000000001,26.8502,0.010399999999999993,0.5056,7.8289720266,1.7879513681121875,548913.0,185265.0
E02000011,29.41176,2149458.855,0.15275,25.786,0.26125,0.5305,6.40384587852,10.595471375018978,550613.0,185186.0
E02000012,24.5614,861331.502,0.11000000000000001,19.9652,-0.04619999999999998,0.36360000000000003,8.66828899181,3.8468927467321805,545549.0,184914.0
E02000013,25.88235,1166708.408,0.1664,29.9578,0.3574,0.49539999999999995,7.6489097086,3.839410204456092,547464.0,184700.0
E02000014,28.57143,984352.02,0.18083333333333332,27.900500000000005,0.5599999999999999,0.49666666666666665,10.7395360368,14.231148547137852,548669.0,184545.0
E02000015,28.91566,1111617.5375,0.213,24.6525,0.72725,0.608,5.8083945239,6.621714928034523,550150.0,184114.0
E02000016,30.52632,473874.1125,0.173,22.913800000000002,1.0193999999999999,0.5898,25.528768604,23.820985361654287,544153.0,184299.0
E02000017,31.57895,519326.678,0.1434,31.820999999999998,0.34780000000000005,0.5780000000000001,24.000790310999996,12.523188481996767,544792.0,184542.0
E02000018,27.17391,908464.078,0.184,25.963,0.46180000000000004,0.5761999999999999,6.80798699326,4.400947493807153,546545.0,184383.0
E02000019,32.07547,743372.794,0.18660000000000002,26.0228,0.49720000000000003,0.5448000000000001,4.4467160476,0.986893622805793,548049.0,183210.0
E02000020,29.00763,340397.822,0.15137499999999998,22.086375,0.217,0.503875,6.2590885508,2.646312290044703,546318.0,182090.0
E02000021,33.33333,742030.61,0.1696,26.1852,0.25680000000000003,0.5810000000000001,3.81836247639,3.827494470639584,549348.0,182750.0
E02000022,32.89474,180311.45047491626,0.16899999999999998,19.772,0.639,0.569,11.3215635958,1.3226417232601824,544465.0,183468.0
E02000023,28.57143,231553.5,0.19974999999999998,20.6095,0.4005,0.536,5.82272475725,4.5935640283944235,546590.0,183107.0
E02000024,12.69841,406165.22,0.07083333333333333,2.2595000000000027,-0.4475,0.15483333333333332,6.27125684821,3.459686572764591,524445.0,196972.0
E02000025,18.36735,422794.23,0.1286,8.6642,-0.0238,0.2892,5.21994793968,2.497583470337317,526350.0,196719.0
E02000026,15.90909,1871090.0925000003,0.09575,5.502750000000001,-0.63575,0.21149999999999997,4.984718237850001,0.6806556781484918,527705.0,196159.0
E02000027,18.18182,343903.32499999995,0.14316666666666666,13.891333333333334,-0.12283333333333331,0.375,5.807554215350001,1.1933664965326285,525042.0,195695.0
E02000028,19.04762,529693.375,0.10925,5.8134999999999994,-0.31499999999999995,0.2855,10.0235867722,8.547247301095629,526101.0,195500.0
E02000029,20.27027,439031.358,0.1222,12.4504,-0.08900000000000001,0.33599999999999997,6.73726790797,7.707061455622187,527238.0,195161.0
E02000030,17.02128,188776.25,0.08566666666666667,6.429499999999999,-0.2881666666666667,0.20483333333333334,1.6523256160300015,0.06861134010901182,522859.0,195100.0
E02000031,20.0,555707.14,0.0856,3.9086,-0.4356,0.23679999999999998,9.53470687478,4.109705681146542,526475.0,194274.0
E02000032,14.7541,540512.852,0.0702,4.274600000000001,-0.6942,0.136,6.65876167134,3.5592722483015002,528801.0,194138.0
E02000033,15.87302,618040.2320000001,0.1328,12.09,-0.0972,0.3274,6.320817491969999,1.1261447794299766,528232.0,193500.0
E02000034,18.84058,420659.29799999995,0.1068,6.5822,-0.404,0.3404,5.035416617759999,2.581738053598775,527173.0,193152.0
E02000035,16.0,368158.556,0.0982,6.124599999999999,-0.6888,0.2948,8.04124344419,1.5337528664370428,525836.0,193099.0
E02000036,25.0,117863.43666666665,0.12283333333333334,12.083166666666665,-0.2293333333333334,0.42850000000000005,5.15907622682,3.3699171313007357,520363.0,192937.0
E02000037,23.18841,425077.49,0.08800000000000001,7.097166666666666,-0.40833333333333344,0.37633333333333335,2.6420162959300004,0.9237205598909028,518729.0,193370.0
E02000038,20.27027,416057.3483333333,0.11416666666666668,9.558166666666667,0.22349999999999998,0.31716666666666665,7.80515620838,7.94240471114253,527744.0,192433.0
E02000039,17.64706,430517.515,0.08175,6.656000000000001,-0.27725,0.22525,7.30037121962,2.823538334791051,521812.0,192145.0
E02000040,22.58065,272689.545,0.0932,7.039199999999998,-0.46799999999999997,0.2914,2.77846013942,0.581397628565135,523648.0,192432.0
E02000041,26.5625,244742.928,0.14079999999999998,16.502000000000002,0.3378,0.5198,16.6242763764,5.923212537642479,519653.0,191887.0
E02000042,17.80822,233917.40833333333,0.11683333333333333,8.606333333333334,-0.02383333333333336,0.30116666666666664,13.9134925195,7.436891622979913,526314.0,191833.0
E02000043,12.5,147646.09200000006,0.062,2.077399999999999,-1.1416,0.121,7.22905301938,1.366576215622663,525203.0,192069.0
E02000044,25.75758,346646.298,0.1472,20.791999999999998,-0.10540000000000001,0.48019999999999996,11.5250419696,4.47620506880329,520986.0,191601.0
E02000045,17.94872,207650.34333333344,0.16033333333333333,12.791666666666666,0.09666666666666668,0.4056666666666667,5.990537166709999,2.292324076577242,528270.0,191198.0
E02000046,15.0,192292.6325,0.094,5.331249999999999,0.19324999999999998,0.27675,14.146907156,13.327878205074336,525436.0,190738.0
E02000047,30.39216,312213.715,0.16242857142857142,25.173714285714286,0.37871428571428567,0.5812857142857143,12.663905078,7.07844505870292,520458.0,190711.0
E02000048,18.18182,342212.588,0.1018,5.293000000000001,-0.28300000000000003,0.269,4.19159469865,1.2892407873941583,523619.0,190738.0
E02000049,31.70732,514471.13399999996,0.20379999999999998,20.2152,0.3662,0.6176,7.51123589682,1.2796697312743595,521567.0,190755.0
E02000050,19.40299,225317.6216666667,0.12016666666666666,9.363666666666667,-0.12700000000000006,0.35133333333333333,4.90794129505,0.9440268829875844,526616.0,190596.0
E02000051,18.51852,219183.17000000004,0.1032,6.2316,-0.3584,0.2564,9.66857496965,6.235538573434982,524947.0,189991.0
E02000052,15.87302,167974.80999999994,0.10083333333333333,4.643833333333333,-0.23183333333333334,0.3073333333333333,10.0075785421,8.320085717351532,526967.0,189648.0
E02000054,25.0,390725.9625,0.1225,12.03825,0.024250000000000008,0.4195,7.03358877552,2.675087979745024,522807.0,190035.0
E02000055,20.58824,424843.0733333333,0.12166666666666666,13.883333333333333,0.2906666666666667,0.4018333333333333,12.799579244,8.326453532420143,523213.0,189171.0
E02000056,17.07317,2133594.6666666665,0.04683333333333334,2.1721666666666675,-0.4656666666666667,0.08083333333333331,5.21248432392,0.0,526463.0,188326.0
E02000057,22.38806,347809.005,0.12875,11.614,0.10799999999999998,0.4025,13.1098810651,4.567238387251131,523521.0,188376.0
E02000058,16.36364,2015923.9083333337,0.09383333333333332,5.907166666666667,-0.28550000000000003,0.303,7.46257021052,0.0,525142.0,188652.0
E02000059,28.57143,735436.36,0.123,20.8735,0.12883333333333333,0.603,6.002490148550001,4.107506148099601,521882.0,188369.0
E02000060,17.14286,847582.9766666667,0.14383333333333334,12.8675,-0.257,0.5498333333333333,12.390778372,4.046059514802587,524190.0,188200.0
E02000061,17.3913,3404480.04,0.099,5.8108,0.42380000000000007,0.221,17.2827414845,4.402386449348682,525061.0,187209.0
E02000062,25.45455,456196.37250000006,0.1925,24.210250000000002,1.07575,0.581,14.1691338064,8.712714363759643,523299.0,187266.0
E02000063,23.80952,713588.975,0.181,17.0465,0.15949999999999998,0.5805,9.20689304491,0.9660654340121955,524103.0,186717.0
E02000064,27.27273,2442501.885,0.15000000000000002,13.91375,0.2345,0.4585,10.9377972825,6.313046666309452,525013.0,186232.0
E02000065,36.11111,258494.57857142825,0.16199999999999998,14.79325,0.1705,0.4485,2.9070418283000006,0.0,548397.0,180313.0
E02000066,30.4878,227693.0599401832,0.1725,20.830166666666667,0.577,0.4731666666666667,10.4939464757,0.6390494771379647,548320.0,178925.0
E02000067,29.26829,208319.0,0.1512,24.8562,0.4612,0.4312,4.85852728123,7.3506443948276265,549681.0,179272.0
E02000068,31.16883,159226.45479750622,0.19125,27.1,0.64025,0.48075,6.252711890469999,5.732960088352276,550890.0,178611.0
E02000069,23.21429,263510.92224394577,0.115,17.56325,0.06150000000000001,0.30675,5.08563444157,2.0627375014612825,550013.0,178199.0
E02000070,33.33333,157818.2459047616,0.0936,16.782400000000003,-0.38360000000000005,0.21639999999999998,6.43883993409,2.6921830469252575,548173.0,178066.0
E02000071,24.19355,126514.51063588494,0.1192,26.6222,0.020800000000000027,0.3274,3.60725338648,9.322512683549917,549950.0,177292.0
E02000072,29.92701,103660.82389283902,0.19262500000000002,26.20325,0.6880000000000001,0.4915,3.1189671090900006,0.9145225385795896,552635.0,176910.0
E02000073,17.56757,378218.92927801656,0.06742857142857142,11.147857142857143,-0.9055714285714287,0.14314285714285718,5.88109303822,6.872973547609369,547738.0,176621.0
E02000074,28.37838,102635.1926797384,0.1806,29.869,0.267,0.465,4.365964144880001,1.779418968288586,551368.0,176647.0
E02000075,17.54386,130301.79599999997,0.06939999999999999,9.7732,-0.8824000000000001,0.12920000000000004,6.44373766981,2.610029796285377,548925.0,176769.0
E02000077,21.15385,785141.9691238469,0.0878,16.653200000000002,-0.4154,0.2524,5.695073062949999,3.5936292784562722,547045.0,176511.0
E02000078,20.75472,173622.28000000003,0.0698,14.6022,-0.47020000000000006,0.15899999999999997,5.17559412131,6.0605315273697595,550790.0,176361.0
E02000079,22.72727,480598.84733333316,0.088,9.8064,0.2818,0.23879999999999998,14.0539776115,7.250987029570708,548807.0,175389.0
E02000080,20.68966,783582.2826631427,0.07883333333333332,12.329666666666666,-0.5323333333333333,0.2233333333333333,6.8421644995,17.78712047636634,546442.0,175417.0
E02000081,22.95082,336433.306,0.10940000000000001,16.453799999999998,0.0252,0.25999999999999995,7.31655250278,1.8113428604424078,550310.0,174780.0
E02000082,19.40299,360034.9450883835,0.060666666666666674,12.1285,-0.7543333333333333,0.1438333333333333,4.279556200810001,6.707452000861547,545439.0,174980.0
E02000083,21.34831,834626.6309741032,0.13457142857142856,19.54357142857143,0.19585714285714287,0.3031428571428571,3.8131224757,5.0894039337858645,551768.0,174981.0
E02000084,18.07229,707002.4842737667,0.06214285714285714,8.935142857142857,-0.6625714285714286,0.13514285714285718,5.18634416865,0.385959166645403,547933.0,174811.0
E02000085,16.12903,907907.6821176469,0.0756,13.627600000000001,-0.4796,0.203,3.6163130269200003,5.532099633230362,546895.0,174317.0
E02000086,19.23077,506481.91155555536,0.0572,10.3972,-0.7674,0.135,3.74675581394,3.3618634926859876,545588.0,173838.0
E02000087,13.72549,496274.3816153264,0.053000000000000005,5.671799999999999,-0.6314,0.09500000000000003,4.788464477650001,1.613840689441946,549718.0,173534.0
E02000088,13.72549,437369.95946359093,0.0632,11.0344,-0.6968,0.13679999999999998,4.672730752970001,2.5011099880105245,547711.0,173319.0
E02000089,13.46154,456888.36228093616,0.066,10.086599999999999,-1.2312,0.12080000000000002,4.07387897001,1.4639054056197383,545114.0,173048.0
E02000090,16.0,496456.463149984,0.0688,10.4478,-0.2764,0.21539999999999998,9.16806328509,4.955033078943045,545689.0,172249.0
E02000091,19.64286,644492.7362181257,0.09133333333333332,11.601333333333335,-0.46516666666666673,0.2383333333333333,6.34496400859,2.931848141108323,546953.0,171748.0
E02000092,25.0,463784.725523485,0.1835,33.3805,0.11575,0.404,1.7852852114100006,0.667344824135272,548387.0,171677.0
E02000093,24.05063,624427.9804027627,0.1075,20.739166666666666,-0.23800000000000004,0.453,8.5522521794,5.089018943605548,519362.0,189755.0
E02000094,24.63768,1213060.1704336493,0.12533333333333332,18.225833333333334,0.13916666666666666,0.5173333333333333,8.36973542977,23.22757268049997,520694.0,189217.0
E02000095,28.98551,1227416.8660932004,0.10899999999999999,21.1222,0.1754,0.4368,9.3466166363,11.597753247805768,519175.0,188738.0
E02000096,22.5,839098.7572060119,0.07199999999999998,8.9452,-0.41100000000000003,0.2862,8.17685398433,3.672734652264526,517611.0,188187.0
E02000097,30.0,1726219.237018444,0.1196,22.0118,-0.2682,0.4974,3.72793678965,10.148483266228446,520359.0,187820.0
E02000098,25.53191,1175792.036410252,0.1302,18.9996,-0.19979999999999998,0.5028,6.9179453318999995,3.2757935573931602,518847.0,187564.0
E02000099,21.81818,798026.9059422032,0.0984,18.4946,-0.47539999999999993,0.5412,10.1252049595,12.42931771342234,517829.0,186850.0
E02000100,25.64103,531707.3423526445,0.064,7.3058,-0.5092,0.30460000000000004,9.9385854041,0.9645283754492393,516648.0,187401.0
E02000101,29.03226,1183523.9712268081,0.165,21.231333333333335,0.4303333333333333,0.5895,13.1966132192,9.965865351990384,519920.0,186703.0
E02000102,26.47059,762204.743777412,0.23519999999999996,42.5874,0.38239999999999996,0.8171999999999999,4.75914990288,5.876573654447174,521775.0,186562.0
E02000103,30.43478,558066.7634321038,0.19340000000000002,25.562600000000003,0.2534,0.8011999999999999,7.69676633201,8.504820224882492,522543.0,186528.0
E02000104,25.53191,479757.0377423387,0.12875,19.965,0.18725,0.639,14.3996286843,0.0,518583.0,186412.0
E02000105,27.02703,467779.0093890658,0.1186,20.9262,-0.04239999999999998,0.4838,7.61597529207,10.878412651996042,517090.0,185785.0
E02000106,26.0274,573382.3681611434,0.23216666666666666,36.26983333333333,0.8570000000000001,0.876,12.5391316369,13.384445970847604,521264.0,185699.0
E02000107,22.22222,417636.81744884816,0.1645,20.66433333333333,0.5471666666666667,0.5066666666666667,12.4144916955,8.413967446779727,523359.0,185520.0
E02000108,22.91667,378575.599450549,0.10625,20.36425,-0.33275,0.47175,7.98574994222,0.0,515962.0,185555.0
E02000110,23.07692,443384.9592193485,0.1414,13.7246,0.2378,0.4514,9.93137015626,3.709184519817933,522608.0,185311.0
E02000111,23.86364,367555.2657967028,0.10700000000000001,30.953200000000002,-0.14600000000000002,0.595,13.9445689795,22.068441641861554,517586.0,185037.0
E02000112,25.3012,177539.94101774483,0.103,31.60633333333334,0.33066666666666666,0.5531666666666667,14.8837994257,22.799154034288822,519017.0,184703.0
E02000113,27.02703,172357.20681326662,0.27616666666666667,35.922,0.6768333333333333,0.8626666666666667,9.20727914953,2.6818042642275364,520571.0,184991.0
E02000114,23.68421,458853.43464201817,0.1502,16.4762,0.3944,0.6368,15.7864920309,26.39205497821747,522764.0,184511.0
E02000115,25.80645,171124.7003030299,0.14,11.447799999999999,0.4796,0.48040000000000005,15.8248223644,3.517014736802783,524058.0,184632.0
E02000116,20.68966,481588.59320376,0.22449999999999998,29.4165,0.6885,0.769,11.6730581676,17.268912616613893,522336.0,184447.0
E02000117,32.96703,247427.37631171395,0.25516666666666665,31.57083333333334,0.7328333333333333,0.8041666666666667,8.49122481813,17.880697686631382,521490.0,184540.0
E02000118,21.95122,201201.54390107014,0.10840000000000001,41.2392,-0.17560000000000003,0.6148,7.90637848319,18.751483928463454,518821.0,184150.0
E02000119,26.66667,121468.35450478329,0.2061666666666667,24.474833333333333,0.36883333333333335,0.7294999999999999,8.60415401317,7.006951685764586,520121.0,183558.0
E02000120,25.64103,191739.80606487335,0.1608,9.5434,0.6704000000000001,0.5346,19.5838306234,39.55843376161751,524924.0,183853.0
E02000121,22.82609,253319.9018057494,0.09659999999999999,39.0032,0.11679999999999999,0.5584,12.0345894166,23.63989250915731,517883.0,183622.0
E02000122,25.0,218984.4005926674,0.0988,7.487999999999999,-0.06780000000000001,0.2544,9.823729745,0.836402534795603,523579.0,183869.0
